category,sub_category,producer,product_type,product,kosher_type,kosher_stamp,comment

"babymat","-","Semper","-","Spiseklar grøt med pære & sviske","p","-","-"
"babymat","-","Semper","-","Spiseklar grøt med youghert, eple og pære","m","-","-"
"babymat","-","Semper","-","Melkefri grøt med mais og banan","p","-","-"
"babymat","-","Semper","-","Havregrøt mild & naturell","m","-","-"
"babymat","-","Semper","-","Spiseklar barnegrøt med pære & Aprikos","p","-","-"
"babymat","-","Semper","-","Spiseklar barnegrøt med eple & Fersken","m","-","-"
"babymat","-","Semper","-","Spiseklar barnegrøt med blåbaer & eple","p","-","-"
"babymat","-","Semper","-","Spiseklar barnegrøt med pære & mango","p","-","-"
"babymat","-","Semper","-","Spiseklar barnegrøt med jordbær & banan","p","-","-"
"babymat","-","Semper","-","Fruktgrøt med pære & banan","m","-","-"
"babymat","-","Semper","-","Fullkornsgrøt med frukt og yoghurt","m","-","-"
"babymat","-","Semper","-","Fullkornsgrøt med frukt","m","-","-"
"babymat","-","Semper","-","Spiseklar mellommåltids velling","m","-","-"
"babymat","-","Semper","-","Spiseklar havrevelling","m","-","-"
"babymat","-","Semper","-","Smoothie tropisk med eple & mango","p","-","-"
"babymat","-","Semper","-","Smoothie sommer","p","-","-"
"babymat","-","Semper","-","Fruktmums fersken","p","-","-"
"babymat","-","Semper","-","Green smoothie med mango, gulrot, eple og mynte","p","-","-"
"babymat","-","Semper","-","Green smoothie med pære, avokado & lime","p","-","-"
"babymat","-","Semper","-","Green smoothie med eple, gulrot, appelsin & ingefær","p","-","-"
