category,sub_category,producer,product_type,product,kosher_type,kosher_stamp,comment

"bakeartikler","-","bakeartikler","-","Bakepulver, alle sorter","p","-","-"
"bakeartikler","-","bakeartikler","-","Gjær, tørr og fersk","p","-","-"
"bakeartikler","-","bakeartikler","-","Honning, alle sorter ren honning","p","-","-"
"bakeartikler","-","bakeartikler","-","Kakaopulver, alle sorter","p","-","-"
"bakeartikler","-","bakeartikler","-","Kokos, alle sorter","p","-","-"
"bakeartikler","-","bakeartikler","-","Mel, alle typer","p","-","-"
"bakeartikler","-","bakeartikler","-","Natron, alle typer","p","-","-"
"bakeartikler","-","bakeartikler","-","Nøtter, alle naturelle eller som kun er tilsatt salt og vegetabilsk olje","p","-","-"
"bakeartikler","-","bakeartikler","-","Potetmel, alle sorter","p","-","-"
"bakeartikler","-","bakeartikler","-","Presset sitron uten tilsetningsstoffer","p","-","-"
"bakeartikler","-","bakeartikler","-","Rosiner, alle sorter","p","-","-"
"bakeartikler","-","bakeartikler","-","Sukker, alle sorter uten fargetilsetning","p","-","-"

"bakeartikler","-","Dansukker","-","Melis med sjokoladesmak","p","-","-"
"bakeartikler","-","Dansukker","-","Fruktose","p","-","-"
"bakeartikler","-","Dansukker","-","Gelesukker","p","-","-"
"bakeartikler","-","Dansukker","-","Norsk Lys Sirup","p","-","-"
"bakeartikler","-","Dansukker","-","Sukker, alle sorter uten farge- eller smakstilsetning","p","-","-"
"bakeartikler","-","Dansukker","-","Syltesukker","p","-","-"

"bakeartikler","-","Eldorado","-","Lys Sirup","p","-","-"
"bakeartikler","-","Eldorado","-","Mørk Sirup","p","-","-"

"bakeartikler","-","Findus","-","Smördeig/Butterdeig","p","-","-"

"bakeartikler","-","Freia","-","Apsikat","p","-","-"
"bakeartikler","-","Freia","-","Bakepulver","p","-","-"
"bakeartikler","-","Freia","-","Bakekakao","p","-","-"
"bakeartikler","-","Freia","-","Brown sugar sprinkles","p","-","-"
"bakeartikler","-","Freia","-","Dinosaurstrøssel","m","-","-"
"bakeartikler","-","Freia","-","Dronningsjokolade Dråper","mprod","-","-"
"bakeartikler","-","Freia","-","Flerfarget strøssel","p","-","-"
"bakeartikler","-","Freia","-","Hakkete mandler","p","-","-"
"bakeartikler","-","Freia","-","Hjertestrøssel","m","-","-"
"bakeartikler","-","Freia","-","Lys kokesjokolade","m","-","-"
"bakeartikler","-","Freia","-","Kakefyll rom","p","-","-"
"bakeartikler","-","Freia","-","Kakefyll vanilje","p","-","-"
"bakeartikler","-","Freia","-","Kakepynt - appelsinstrøssel","p","-","-"
"bakeartikler","-","Freia","-","Kakepynt - krokan","m","-","-"
"bakeartikler","-","Freia","-","Kokesjokolade 70%","mprod","-","-"
"bakeartikler","-","Freia","-","Makronfyll","p","-","-"
"bakeartikler","-","Freia","-","Mandelskiver","p","-","-"
"bakeartikler","-","Freia","-","Non Stop strøssel","mprod","-","-"
"bakeartikler","-","Freia","-","Pyntegelé, grønn","p","-","-"
"bakeartikler","-","Freia","-","Pyntegelé, rød","p","-","-"
"bakeartikler","-","Freia","-","Sjokoladedekor – Blonder","mprod","-","-"
"bakeartikler","-","Freia","-","Sjokoladedekor – Bokstaver og tall","mprod","-","-"
"bakeartikler","-","Freia","-","Sjokoladedekor - Hjerter","m","-","-"
"bakeartikler","-","Freia","-","Sommerfuglstrøssel","p","-","-"
"bakeartikler","-","Freia","-","Sukat","p","-","-"
"bakeartikler","-","Freia","-","Vaniljesukker","p","-","-"

"bakeartikler","-","Tine","-","Nå Paibunn","p","-","-"
"bakeartikler","-","Tine","-","Piano romkrem","m","-","-"
"bakeartikler","-","Tine","-","Piano vaniljekrem","m","-","-"
"bakeartikler","-","Tine","-","Piano vaniljesaus","m","-","-"
"bakeartikler","-","Tine","-","Piano vaniljesaus Fyldig","m","-","-"
"bakeartikler","-","Tine","-","Piano kakekrem med romsmak","m","-","-"
"bakeartikler","-","Tine","-","Kremtopp","m","-","-"
"bakeartikler","-","Tine","-","Piano vaniljesaus uten","ik","-","-"

"bakeartikler","-","Idun","-","Kakefyll med romsmak","p","-","-"
"bakeartikler","-","Idun","-","Kakefyll med vaniljesmak","m","-","-"
"bakeartikler","-","Idun","-","Karamellfudge","m","-","-"
"bakeartikler","-","Idun","-","Regnbuefudge","p","-","-"
"bakeartikler","-","Idun","-","Sjokohjerter","m","-","-"
"bakeartikler","-","Idun","-","Sjokosmell","m","-","-"

"bakeartikler","-","Odense","-","Bløt nougat","m","-","-"
"bakeartikler","-","Odense","-","Ekte marsipan","p","-","-"
"bakeartikler","-","Odense","-","Fest & Figur marsipan","p","-","-"
"bakeartikler","-","Odense","-","Figurmarsipan","p","-","-"
"bakeartikler","-","Odense","-","Hvit sjokolade","m","-","-"
"bakeartikler","-","Odense","-","Kransekakemasse","p","-","-"
"bakeartikler","-","Odense","-","Marsipanlokk","p","-","-"
"bakeartikler","-","Odense","-","Mørk sjokolade 56%","p","-","-"
"bakeartikler","-","Odense","-","Mørk sjokolade 70%","p","-","-"
"bakeartikler","-","Odense","-","Marsipan – uten tilsatt sukker","p","-","-"
"bakeartikler","-","Odense","-","Nougatsaus","m","-","-"
"bakeartikler","-","Odense","-","Sjokoladesaus","m","-","-"

"bakeartikler","-","Dr. Oetker","-","Appelsinskall","p","-","-"
"bakeartikler","-","Dr. Oetker","-","Natron","p","-","-"
"bakeartikler","-","Dr. Oetker","-","Sukat","p","-","-"
"bakeartikler","-","Dr. Oetker","-","Hakkede mandler","p","-","-"
"bakeartikler","-","Dr. Oetker","-","Mandelflak","p","-","-"
"bakeartikler","-","Dr. Oetker","-","Vaniljesukker med ekte Bourbonvanilje","p","-","-"
"bakeartikler","-","Dr. Oetker","-","Vaniljestang","p","-","-"

"bakeartikler","-","Toro","-","Ekstra hvit overtrekksmarsipan","p","-","-"
"bakeartikler","-","Toro","-","Figurmarsipan hvit","p","-","-"
"bakeartikler","-","Toro","-","Fyrstekakemasse ekstra","p","-","-"
"bakeartikler","-","Toro","-","Konditormarsipan hvit","p","-","-"
"bakeartikler","-","Toro","-","Kransekakemasse continental - brun","p","-","-"
"bakeartikler","-","Toro","-","Kransekakemasse brun","p","-","-"
"bakeartikler","-","Toro","-","Kransekakemasse hvit","p","-","-"
"bakeartikler","-","Toro","-","Overtrekksmarsipan continental","p","-","-"
"bakeartikler","-","Toro","-","Overtrekksmarsipan gul","p","-","-"
"bakeartikler","-","Toro","-","Overtrekksmarsipan grønn","p","-","-"
"bakeartikler","-","Toro","-","Overtrekksmarsipan hvit","p","-","-"
"bakeartikler","-","Toro","-","Overtrekksmarsipan oransje","p","-","-"
"bakeartikler","-","Toro","-","Overtrekksmarsipan rosa","p","-","-"
"bakeartikler","-","Toro","-","Overtrekksmarsipan rød","p","-","-"
"bakeartikler","-","Toro","-","Wienerfyllmasse","p","-","-"

"bakeartikler","-","Toro","-","Fine rundstykker","p","-","-"
"bakeartikler","-","Toro","-","Grove rundstykker","p","-","-"
"bakeartikler","-","Toro","-","Havrebrød","p","-","-"
"bakeartikler","-","Toro","-","Knekkebrød","p","-","-"
"bakeartikler","-","Toro","-","Scones","m","-","-"
"bakeartikler","-","Toro","-","Crème brûlée","m","-","-"
"bakeartikler","-","Toro","-","Glutenfrie Brownies","m","-","-"
"bakeartikler","-","Toro","-","Glutenfrie Pannekaker","m","-","-"
"bakeartikler","-","Toro","-","Glutenfritt fiberrikt brød","p","-","-"
"bakeartikler","-","Toro","-","Glutenfri fin kakemiks","p","-","-"
"bakeartikler","-","Toro","-","Glutenfri grov melblanding","p","-","-" 
"bakeartikler","-","Toro","-","Glutenfri havrebrød","p","-","-"
"bakeartikler","-","Toro","-","Glutenfri knekkebrød","p","-","-"
"bakeartikler","-","Toro","-","Glutenfri lys melblanding","p","-","-"
"bakeartikler","-","Toro","-","Glutenfri vafler","m","-","-"
"bakeartikler","-","Toro","-","Bakemiks til Gulrotkake","m","-","-"
"bakeartikler","-","Toro","-","Glasurmiks til Ostekrem","p","-","-"
"bakeartikler","-","Toro","-","Grove Pannekaker","m","-","-"
"bakeartikler","-","Toro","-","GroveVafler","m","-","-"
"bakeartikler","-","Toro","-","Bakemiks til Bløtkake","m","-","-"
"bakeartikler","-","Toro","-","Brownie Cookies","p","-","-"
"bakeartikler","-","Toro","-","Brownies","p","-","-"
"bakeartikler","-","Toro","-","Eplekake","p","-","-"
"bakeartikler","-","Toro","-","Hveteboller","p","-","-"
"bakeartikler","-","Toro","-","Krydderkake","m","-","-"
"bakeartikler","-","Toro","-","Lapper Sveler","m","-","-"
"bakeartikler","-","Toro","-","Lyse muffins","m","-","-"
"bakeartikler","-","Toro","-","Marengs Pavlova","p","-","-"
"bakeartikler","-","Toro","-","Pannekaker","m","-","-"
"bakeartikler","-","Toro","-","Sjokoladefondant","p","-","-"
"bakeartikler","-","Toro","-","Sjokoladeglasur","p","-","-"
"bakeartikler","-","Toro","-","Sjokoladekake","p","-","-"
"bakeartikler","-","Toro","-","Sjokolademuffins","p","-","-"
"bakeartikler","-","Toro","-","Vafler","m","-","-"


