category,sub_category,producer,product_type,product,kosher_type,kosher_stamp,comment

"div matprodukter","Middagsprodukter","Bakehuset","-","Alle pølse- og hamburgerbrød","p","-","-"

"div matprodukter","Middagsprodukter","Hatting","-","Chicago pølsebrød","p","-","-"
"div matprodukter","Middagsprodukter","Hatting","-","Chicago hamburgerbrød","p","-","-"
"div matprodukter","Middagsprodukter","Hatting","-","Fiberrikt pølsebrød","p","-","-"
"div matprodukter","Middagsprodukter","Hatting","-","Fiberrikt hamburgerbrød","p","-","-"
"div matprodukter","Middagsprodukter","Hatting","-","Great taste Wienerpølsebrød","p","-","-"
"div matprodukter","Middagsprodukter","Hatting","-","Great taste hamburgerbrød","p","-","-"
"div matprodukter","Middagsprodukter","Hatting","-","Lille høvding pølsebrød","p","-","-"
"div matprodukter","Middagsprodukter","Hatting","-","Lille høvding hamburgerbrød","p","-","-"
"div matprodukter","Middagsprodukter","Hatting","-","Pitabrød","p","-","-"

"div matprodukter","Middagsprodukter","Ming","-","Risgrøt Snarkokt 5 min","p","-","-"

"div matprodukter","Middagsprodukter","Pågen","-","Alle pølse- og hamburgerbrød","p","-","-"

"div matprodukter","Middagsprodukter","Santa Maria","-","Mexican Pita","p","-","-"
"div matprodukter","Middagsprodukter","Santa Maria","-","Mini Taco Tubs","p","-","-"
"div matprodukter","Middagsprodukter","Santa Maria","-","Mini Tortilla","p","-","-"
"div matprodukter","Middagsprodukter","Santa Maria","-","Soft Tortilla Chili & Jalapeno","p","-","-"
"div matprodukter","Middagsprodukter","Santa Maria","-","Soft Tortilla organic","p","-","-"
"div matprodukter","Middagsprodukter","Santa Maria","-","Soft Tortilla Whole Wheat","p","-","-"
"div matprodukter","Middagsprodukter","Santa Maria","-","Soft Tortilla","p","-","-"
"div matprodukter","Middagsprodukter","Santa Maria","-","Taco Tubs","p","-","-"
"div matprodukter","Middagsprodukter","Santa Maria","-","Tacoshells","p","-","-"
"div matprodukter","Middagsprodukter","Santa Maria","-","Wraps Tortilla Herbs & Garlic","p","-","-"
"div matprodukter","Middagsprodukter","Santa Maria","-","Wraps Tortilla Original","p","-","-"

"div matprodukter","Middagsprodukter","IKEA","-","Rostad lök","p","-","-"

"div matprodukter","Middagsprodukter","Peppes pizza","-","Tynn pizzabunn","p","-","-"
"div matprodukter","Middagsprodukter","Peppes pizza","-","Grov pizzabunn","m","-","-"
"div matprodukter","Middagsprodukter","Peppes pizza","-","Original pizzabunn","p","-","-"
"div matprodukter","Middagsprodukter","Peppes pizza","-","Glutenfri pizzabunn","p","-","-"

"div matprodukter","Middagsprodukter","Tine","-","Nå Paibunn","p","-","-"
"div matprodukter","Middagsprodukter","Tine","-","Nå Familiepizzabunn Original","p","-","-"
"div matprodukter","Middagsprodukter","Tine","-","Nå Familiepizzabunn italiensk ","p","-","-"
"div matprodukter","Middagsprodukter","Tine","-","Nå Familiepizzabunn Fullkorn og Spelt","p","-","-"

"div matprodukter","Middagsprodukter","Toro","-","Gresk Moussaka","p","-","-"
"div matprodukter","Middagsprodukter","Toro","-","Kålrabistappe","m","-","-"
"div matprodukter","Middagsprodukter","Toro","-","Kålstuing","p","-","-"
"div matprodukter","Middagsprodukter","Toro","-","Pannekaker","m","-","-"
"div matprodukter","Middagsprodukter","Toro","-","Pannekaker Grov med bygg og havre","m","-","-"
"div matprodukter","Middagsprodukter","Toro","-","Pizzabunn Familiepakning","p","-","-" 
"div matprodukter","Middagsprodukter","Toro","-","Pizzabunn","p","-","-"
"div matprodukter","Middagsprodukter","Toro","-","Pizzabunn litt grovere","p","-","-" 
"div matprodukter","Middagsprodukter","Toro","-","Pizzabunn Italiensk type","p","-","-"
"div matprodukter","Middagsprodukter","Toro","-","Pizzafyll med tomat og løk","p","-","-"
"div matprodukter","Middagsprodukter","Toro","-","Pizzafyll med tomat og urter","p","-","-"
"div matprodukter","Middagsprodukter","Toro","-","Pizzafyll Mexicana","p","-","-"
"div matprodukter","Middagsprodukter","Toro","-","Pizzafyll Picante","p","-","-"
"div matprodukter","Middagsprodukter","Toro","-","Raspeballer","p","-","-"
"div matprodukter","Middagsprodukter","Toro","-","Rett i koppen Pasta meksikansk tomat","m","-","-"
"div matprodukter","Middagsprodukter","Toro","-","Risengrøt","p","-","-"
