category,sub_category,producer,product_type,product,kosher_type,kosher_stamp,comment

"drikke","Brus og saft","info","-","All saft, juice, brus og mineralvann som ikke inneholder druejus er kosher.","-","-","-"
"drikke","Brus og saft","Coca-Cola","-","Burn","p","-","-"
"drikke","Brus og saft","Coca-Cola","-","Alle andre Coca-Cola produkter","p","-","-"
"drikke","Brus og saft","Pepsi","-","Alle produkter","p","-","-"
"drikke","Brus og saft","Ringnes","-","Alle produkter","p","-","-"
"drikke","Brus og saft","Ringnes","-","Mozell","ik","-","-"
"drikke","Brus og saft","Ringnes","-","Mozell light","ik","-","-"
"drikke","Brus og saft","Ringnes","-","Alle andre Ringnes-produkter","p","-","-"
"drikke","Brus og saft","Schweppes","-","Alle sorter","p","-","-"
"drikke","Brus og saft","Solo","-","Alle produkter","p","-","-"
"drikke","Brus og saft","IKEA","-","Cider Apple and pear","p","-","-"
"drikke","Brus og saft","IKEA","-","Drink Lingon Flader","p","-","-"
"drikke","Brus og saft","IKEA","-","Blåbär","p","-","-"
"drikke","Brus og saft","Fun Light","-","APPELSIN","p","-","-"
"drikke","Brus og saft","Fun Light","-","BRINGEBÆR","p","-","-"
"drikke","Brus og saft","Fun Light","-","BRINGEBÆR LIME","p","-","-"
"drikke","Brus og saft","Fun Light","-","COLA","p","-","-"
"drikke","Brus og saft","Fun Light","-","EPLE PÆRE","p","-","-"
"drikke","Brus og saft","Fun Light","-","FAMILIY SIZE FRUKTFEST","p","-","-"
"drikke","Brus og saft","Fun Light","-","FAMILY SIZE BRINGEBÆR & BLÅBÆR","p","-","-"
"drikke","Brus og saft","Fun Light","-","FAMILY SIZE SITRUSFEST","p","-","-"
"drikke","Brus og saft","Fun Light","-","FRUKTFEST","p","-","-"
"drikke","Brus og saft","Fun Light","-","HUSHOLDNINGSSAFT","p","-","-"
"drikke","Brus og saft","Fun Light","-","ICE TEA MANGO","p","-","-"
"drikke","Brus og saft","Fun Light","-","ICE TEA MYNTE LIME","p","-","-"
"drikke","Brus og saft","Fun Light","-","ICETEA PEACH","p","-","-"
"drikke","Brus og saft","Fun Light","-","JORDBÆR KIWI","p","-","-"
"drikke","Brus og saft","Fun Light","-","JUNGLE FRUIT","p","-","-"
"drikke","Brus og saft","Fun Light","-","LEMON LIME","p","-","-"
"drikke","Brus og saft","Fun Light","-","LEMONADE","p","-","-"
"drikke","Brus og saft","Fun Light","-","MANGO LIME","p","-","-"
"drikke","Brus og saft","Fun Light","-","RED BERRY CRUSH","p","-","-"
"drikke","Brus og saft","Fun Light","-","STRAWBERRY PASSION","p","-","-"
"drikke","Brus og saft","Fun Light","-","SWEET LEMON GUARANA","p","-","-"
"drikke","Brus og saft","Fun Light","-","TROPISK","p","-","-"
"drikke","Brus og saft","Lærum","-","Alle typer Hushaldningssaft","ik","-","-"
"drikke","Brus og saft","Lærum","-","Solbærsirup","p","-","-"
"drikke","Brus og saft","Lærum","-","Bringebærsirup","p","-","-"
"drikke","Brus og saft","Lærum","-","Kirsebærsirup","p","-","-"
"drikke","Brus og saft","Lærum","-","Rips & Bringebærsaft","p","-","-"
"drikke","Brus og saft","Lærum","-","Blåbærsaft","p","-","-"
"drikke","Brus og saft","Lærum","-","Sitron & Limesaft","p","-","-"
"drikke","Brus og saft","Lærum","-","Appelsinsaft","p","-","-"
"drikke","Brus og saft","Lærum","-","Eple & plomme uten tilsett sukker","p","-","-"
"drikke","Brus og saft","Lærum","-","Appelsinsaft uten tilsett sukker","p","-","-"
"drikke","Brus og saft","Lærum","-","Eple-pæresaft uten tilsett sukker","p","-","-"
