category,sub_category,producer,product_type,product,kosher_type,kosher_stamp,comment

"fisk","Kosher fisk, generelt i Norge","info","-","Fisker uten skjell eller finner","ik","-","-"
"fisk","Kosher fisk, generelt i Norge","-","-","Abbor","p","-","Perch"
"fisk","Kosher fisk, generelt i Norge","-","-","Alaska Pollack","p","-","Alaska Pollack"
"fisk","Kosher fisk, generelt i Norge","-","-","Ansjos","p","-","Anchovy"
"fisk","Kosher fisk, generelt i Norge","-","-","Brasme","p","-","Bream"
"fisk","Kosher fisk, generelt i Norge","-","-","Gjøs","p","-","Pike-perch"
"fisk","Kosher fisk, generelt i Norge","-","-","Brisling","p","-","Sprat"
"fisk","Kosher fisk, generelt i Norge","-","-","Flyndre","p","-","Flounder"
"fisk","Kosher fisk, generelt i Norge","-","-","Sjøørret (aure)","p","-","River Trout"
"fisk","Kosher fisk, generelt i Norge","-","-","Sei","p","-","Coalfish"
"fisk","Kosher fisk, generelt i Norge","-","-","Gjedde","p","-","Pike"
"fisk","Kosher fisk, generelt i Norge","-","-","Gullbust (strømskalle)","p","-","Dace"
"fisk","Kosher fisk, generelt i Norge","-","-","Havabbor","p","-","Sea perch"
"fisk","Kosher fisk, generelt i Norge","-","-","Hoki","p","-","Hoki"
"fisk","Kosher fisk, generelt i Norge","-","-","Hellefisk, kveite","p","-","Halibut"
"fisk","Kosher fisk, generelt i Norge","-","-","Karpe","p","-","Carp"
"fisk","Kosher fisk, generelt i Norge","-","-","Knurr","p","-","Gurnard"
"fisk","Kosher fisk, generelt i Norge","-","-","Hyse, kolje","p","-","Haddock"
"fisk","Kosher fisk, generelt i Norge","-","-","Lysing, kolmule","p","-","Hake"
"fisk","Kosher fisk, generelt i Norge","-","-","Laks","p","-","Salmon"
"fisk","Kosher fisk, generelt i Norge","-","-","Lyr","p","-","Pollack"
"fisk","Kosher fisk, generelt i Norge","-","-","Lange","p","-","Ling"
"fisk","Kosher fisk, generelt i Norge","-","-","Maisild","p","-","Shad"
"fisk","Kosher fisk, generelt i Norge","-","-","Makrell","p","-","Mackerel"
"fisk","Kosher fisk, generelt i Norge","-","-","Multe","p","-","Mullet"
"fisk","Kosher fisk, generelt i Norge","-","-","Mort","p","-","Roach, Dace"
"fisk","Kosher fisk, generelt i Norge","-","-","Krøkle (smelt)","p","-","Smelt"
"fisk","Kosher fisk, generelt i Norge","-","-","Rødspette","p","-","Plaice"
"fisk","Kosher fisk, generelt i Norge","-","-","Rødtunge","p","-","Pole dab"
"fisk","Kosher fisk, generelt i Norge","-","-","Sankt Petersfisk","p","-","John Dory"
"fisk","Kosher fisk, generelt i Norge","-","-","Sandflyndre","p","-","Dab"
"fisk","Kosher fisk, generelt i Norge","-","-","Sardin","p","-","Sardine, pilchard"
"fisk","Kosher fisk, generelt i Norge","-","-","Sei","p","-","Coalfish"
"fisk","Kosher fisk, generelt i Norge","-","-","Sild","p","-","Herring"
"fisk","Kosher fisk, generelt i Norge","-","-","Sjøtunge","p","-","Sole"
"fisk","Kosher fisk, generelt i Norge","-","-","Slettvar","p","-","Brill"
"fisk","Kosher fisk, generelt i Norge","-","-","Strømming","p","-","Baltic herring"
"fisk","Kosher fisk, generelt i Norge","-","-","Torsk","p","-","Cod"
"fisk","Kosher fisk, generelt i Norge","-","-","Tunfisk (fersk)","p","-","Tuna"
"fisk","Kosher fisk, generelt i Norge","-","-","Hvitting","p","-","Whiting"
"fisk","Kosher fisk, generelt i Norge","-","-","Harr","p","-","Grayling"
"fisk","Kosher fisk, generelt i Norge","-","-","Taggmakrell","p","-","Horse mackerel"
"fisk","Kosher fisk, generelt i Norge","-","-","Horngjel (hornfisk)","p","-","Garfish, garpike"
"fisk","Kosher fisk, generelt i Norge","-","-","Laksestørje","p","-","Opah, moonfish"
"fisk","Kosher fisk, generelt i Norge","-","-","Ørret","p","-","Trout"
"fisk","Kosher fisk, generelt i Norge","-","-","Uer","p","-","Red-fish"
"fisk","Kosher fisk, generelt i Norge","-","-","Breiflabb","ik","-","Angler, monkfish"
"fisk","Kosher fisk, generelt i Norge","-","-","Haifamilien","ik","-","Shark family"
"fisk","Kosher fisk, generelt i Norge","-","-","Piggvar","ik","-","Turbot"
"fisk","Kosher fisk, generelt i Norge","-","-","Steinbitt","ik","-","Wolf-fish, catfish"
"fisk","Kosher fisk, generelt i Norge","-","-","Stør","ik","-","Sturgeon"
"fisk","Kosher fisk, generelt i Norge","-","-","Sverdfisk","ik","-","Swordfish"
"fisk","Kosher fisk, generelt i Norge","-","-","Ål","ik","-","Eel"

"fisk","Fiskehermetikk og pålegg","IKEA","-","Sill senap","p","-","-"
"fisk","Fiskehermetikk og pålegg","IKEA","-","Sill inlagd","p","-","-"
"fisk","Fiskehermetikk og pålegg","IKEA","-","Sill dill","p","-","-"
"fisk","Fiskehermetikk og pålegg","IKEA","-","Sill matjes","p","-","-"
"fisk","Fiskehermetikk og pålegg","Vesterålen","-","Fiskeboller i kraft","m","-","-"
"fisk","Fiskehermetikk og pålegg","Eldorado","-","Tunfisk i olje eller vann uten tilsetningsstoffer eller smakstilsetninger","p","-","-"
"fisk","Fiskehermetikk og pålegg","Kavli","-","Kaviar 60%","p","-","-"
"fisk","Fiskehermetikk og pålegg","Rema 1000","-","Tunfisk i olje eller vann uten tilsetningsstoffer eller smakstilsetninger","p","-","-"
"fisk","Fiskehermetikk og pålegg","Mills","-","Kaviar","p","-","-"
"fisk","Fiskehermetikk og pålegg","Mills","-","Kaviarmix","p","-","-"
"fisk","Fiskehermetikk og pålegg","Mills","-","Polarkaviar","p","-","-"
"fisk","Fiskehermetikk og pålegg","Stabburet","-","Stabbur-Makrell filet i tomatsaus","p","-","-"
"fisk","Fiskehermetikk og pålegg","Stabburet","-","Stabbur-Makrell grovhakket i tomat","p","-","-"
"fisk","Fiskehermetikk og pålegg","Stabburet","-","Stabbur-Makrell grovhakket i salsa","p","-","-"
"fisk","Fiskehermetikk og pålegg","Stabburet","-","Stabbur-Makrell Peppermakrell i raps","p","-","-"
"fisk","Fiskehermetikk og pålegg","Stabburet","-","Stabbur-Makrell tomat og basilikum","p","-","-"
"fisk","Fiskehermetikk og pålegg","Stabburet","-","Stabbur-Makrell Finhakket porsjonspakninger","p","-","-"
"fisk","Fiskehermetikk og pålegg","Stabburet","-","Stabbur-Makrell Grovhakket porsjonspakninger","p","-","-"
"fisk","Fiskehermetikk og pålegg","Stabburet","-","Stabbur-Makrell hakket i tomatsaus tube","p","-","-"
"fisk","Fiskehermetikk og pålegg","Stabburet","Sardiner","Alle sardiner som ligger i kun tomatsauseller vegetabilsk olje, er kosher.","-","-","-"

"fisk","Frosne fiskeprodukter","Findus","-","God Gammeldags Original Fiskesuppe","m","-","-"
"fisk","Frosne fiskeprodukter","Findus","-","God Gammeldags Fiskesuppe medtorsk og laks","m","-","-"
"fisk","Frosne fiskeprodukter","Findus","-","God Gammeldags Blomkålsuppe","m","-","-"
"fisk","Frosne fiskeprodukter","Findus","-","Fish & Crisp","m","-","-"
"fisk","Frosne fiskeprodukter","Findus","-","Fish & Crisp Spicy Paprika","m","-","-"
"fisk","Frosne fiskeprodukter","Findus","-","Fish & Crisp Burger","m","-","-"
"fisk","Frosne fiskeprodukter","Findus","-","Fisk & Crisp Fiskepinner","m","-","-"
"fisk","Frosne fiskeprodukter","Findus","-","Fiskepinner","p","-","-"
"fisk","Frosne fiskeprodukter","Findus","-","Torskepinner","p","-","-"
"fisk","Frosne fiskeprodukter","Findus","-","Torskefileter salt & pepper","p","-","-"
"fisk","Frosne fiskeprodukter","Findus","-","Sprøbakte Fiskefileter","p","-","-"
"fisk","Frosne fiskeprodukter","Findus","-","Frasiga Fiskefileter","p","-","-"
"fisk","Frosne fiskeprodukter","Findus","-","Seibiff med løk","p","-","-"
"fisk","Frosne fiskeprodukter","Findus","-","Steketorsk","p","-","-"
"fisk","Frosne fiskeprodukter","Findus","-","Posen rett i ovnen - Torsk med Middelhavssmør","m","-","-"
"fisk","Frosne fiskeprodukter","Findus","-","Posen rett i ovnen – Torsk med Sitron- og Persillesmør","m","-","-"
"fisk","Frosne fiskeprodukter","Findus","-","Torsk Gourmet","p","-","-"
"fisk","Frosne fiskeprodukter","Findus","-","Torsk Gourmet ekstra store","p","-","-"
"fisk","Frosne fiskeprodukter","Findus","-","Sei Gourmet","p","-","-"
"fisk","Frosne fiskeprodukter","Findus","-","Torsk","p","-","-"
"fisk","Frosne fiskeprodukter","Findus","-","Lettsaltet Torsk","p","-","-"
