category,sub_category,producer,product_type,product,kosher_type,kosher_stamp,comment

"helsekost","Glutenfritt","Dr. Schär","info","Alle produkter er kosher","-","-","M/P: Sjekk på innholdsfortegnelsen"
"helsekost","Glutenfritt","Finax","-","Chunky Chokolate","m","-","-"
"helsekost","Glutenfritt","Finax","-","Chunky Chokolate småkaka","p","-","-"
"helsekost","Glutenfritt","Finax","-","Crispy Coconut","p","-","-"
"helsekost","Glutenfritt","Finax","-","Glutenfri Grov Mjölmix utan mjölk","p","-","-"
"helsekost","Glutenfritt","Finax","-","Glutenfri lågprotein mjölmix","p","-","-"
"helsekost","Glutenfritt","Finax","-","Glutenfri mjölmix med mjölk","m","-","-"
"helsekost","Glutenfritt","Finax","-","Naturligt Glutenfri Fruktmüsli","p","-","-"
"helsekost","Glutenfritt","Finax","-","Naturligt glutenfri mjölmix","m","-","-"
"helsekost","Glutenfritt","Finax","-","Naturligt glutenfri muffins mix","m","-","-"

"helsekost","Søtningsmiddel","Canderel","-","Pulver og suketter","m","-","-"
"helsekost","Søtningsmiddel","Natreen","-","Pulver og suketter","m","-","-"
"helsekost","Søtningsmiddel","Natreen","-","Søtningstabletter","p","-","-"
"helsekost","Søtningsmiddel","Natreen","-","Flytende søtningsmiddel","p","-","-"
"helsekost","Søtningsmiddel","Natreen","-","Strø søtningsmiddel","p","-","-"

"helsekost","Melkeerstatning","Gogreen","-","Mat","p","-","-"
"helsekost","Melkeerstatning","Gogreen","-","MiniMat","p","-","-"
"helsekost","Melkeerstatning","Gogreen","-","Sojadryck","p","-","-"
"helsekost","Melkeerstatning","Gogreen","-","Sojadryck Choklad","p","-","-"
"helsekost","Melkeerstatning","Gogreen","-","Sojadryck Kalcium","p","-","-"
"helsekost","Melkeerstatning","Gogreen","-","Sojadryck Naturell","p","-","-"
"helsekost","Melkeerstatning","Gogreen","-","Sojadryck Vanilj","p","-","-"
"helsekost","Melkeerstatning","Gogreen","-","Soygurt Ananas och apelsin","p","-","-"
"helsekost","Melkeerstatning","Gogreen","-","Soygurt Blåbär","p","-","-"
"helsekost","Melkeerstatning","Gogreen","-","Soygurt Eksotiska Frukter","p","-","-"
"helsekost","Melkeerstatning","Gogreen","-","Soygurt Naturell","p","-","-"
"helsekost","Melkeerstatning","Gogreen","-","Soygurt Vanilj","p","-","-"
"helsekost","Melkeerstatning","Gogreen","-","Vaniljsås","p","-","-"
"helsekost","Melkeerstatning","Gogreen","-","Visp","p","-","-"

"helsekost","Melkeerstatning","alpro","-","Alprop drikke","p","-","-"
"helsekost","Melkeerstatning","alpro","-","Alpro Kokos Mandel","p","-","-"
"helsekost","Melkeerstatning","alpro","-","Alpro Kokosnøtt Original","p","-","-"
"helsekost","Melkeerstatning","alpro","-","Alpro Kokos-Sjokoladedrikk","p","-","-"
"helsekost","Melkeerstatning","alpro","-","Alpro Risdrikk Original","p","-","-"
"helsekost","Melkeerstatning","alpro","-","Alpro Soya Naturell Økologisk","p","-","-"
"helsekost","Melkeerstatning","alpro","-","Alpro Soya Original","p","-","-"
"helsekost","Melkeerstatning","alpro","-","Alpro Soya Usøtet","p","-","-"
"helsekost","Melkeerstatning","alpro","-","Alpro Soya Vanilje","p","-","-"
"helsekost","Melkeerstatning","alpro","-","Alpro Soyadrikk Sjokolade","p","-","-"
"helsekost","Melkeerstatning","alpro","-","Alpro DESSERTER","p","-","-"
"helsekost","Melkeerstatning","alpro","-","Alpro Soyadessert Vanilje","p","-","-"
"helsekost","Melkeerstatning","alpro","-","Alpro Soyadessert Mørk Sjokolade","p","-","-"
"helsekost","Melkeerstatning","alpro","-","Alpro PLANTEBASERTE","p","-","Alternativ til fløte"
"helsekost","Melkeerstatning","alpro","-","Alpro Cuisine Soya","p","-","-"
"helsekost","Melkeerstatning","alpro","-","Alpro Cuisine Coconut","p","-","-"
"helsekost","Melkeerstatning","Oatly","-","iMat","m","-","-"
"helsekost","Melkeerstatning","Plamil","-","Alle produkter","p","-","-"
"helsekost","Melkeerstatning","Provamel","-","Alle produkter","p","-","-"

"helsekost","Vegetarretter","Anamma","-","Basilikapuckar","p","-","-"
"helsekost","Vegetarretter","Anamma","-","Falafel","p","-","-"
"helsekost","Vegetarretter","Anamma","-","Färs","p","-","-"
"helsekost","Vegetarretter","Anamma","-","Vegokorv","p","-","-"
"helsekost","Vegetarretter","Anamma","-","Vegokebab","p","-","-"
"helsekost","Vegetarretter","Anamma","-","Vegoburgare","p","-","-"
"helsekost","Vegetarretter","Anamma","-","Formbar Färs","p","-","-"
"helsekost","Vegetarretter","Anamma","-","Pulled Vego BBQ","p","-","-"
"helsekost","Vegetarretter","Anamma","-","Vegobitar","p","-","-"
"helsekost","Vegetarretter","Anamma","-","Vegobullar","p","-","-"
"helsekost","Vegetarretter","Anamma","-","Vegochorizo","p","-","-"
"helsekost","Vegetarretter","Anamma","-","Vegofärs","p","-","-"
"helsekost","Vegetarretter","Anamma","-","Vegofärs Eko","p","-","-"
"helsekost","Vegetarretter","Anamma","-","Vegoschnitzel","p","-","-"
"helsekost","Vegetarretter","Oatly","-","Havedrikk Økologisk","p","-","-"
"helsekost","Vegetarretter","Oatly","-","Havredrikk Kalsium","p","-","-"
"helsekost","Vegetarretter","Oatly","-","Havredrikk Choklad","p","-","-"
"helsekost","Vegetarretter","Oatly","-","Havredryck Chocolad Junior","p","-","-"
"helsekost","Vegetarretter","Oatly","-","Chocolate","p","-","-"
"helsekost","Vegetarretter","Oatly","-","Cold Brew Latte","p","-","-"
"helsekost","Vegetarretter","Oatly","-","Recovery Ananas, Pasjonsfrukt & Spirulina","p","-","-"
"helsekost","Vegetarretter","Oatly","-","Orange Mango","p","-","-"
"helsekost","Vegetarretter","Oatly","-","Oatly Duo Havregurt Vanilje/Blåbær","p","-","-"
"helsekost","Vegetarretter","Oatly","-","Havregurt Jordbær","p","-","-"
"helsekost","Vegetarretter","Oatly","-","Havregurt Vanilje","p","-","-"
"helsekost","Vegetarretter","Oatly","-","Havregurt Naturell","p","-","-"
"helsekost","Vegetarretter","Hälsans kök","-","Bullar","p","-","-"
"helsekost","Vegetarretter","Hälsans kök","-","Burgare","p","-","-"
"helsekost","Vegetarretter","Hälsans kök","-","Burgere","p","-","-"
"helsekost","Vegetarretter","Hälsans kök","-","Falafel","p","-","-"
"helsekost","Vegetarretter","Hälsans kök","-","Filetbiter","p","-","-"
"helsekost","Vegetarretter","Hälsans kök","-","Färs","p","-","-"
"helsekost","Vegetarretter","Hälsans kök","-","Grillade bitar","p","-","-"
