category,sub_category,producer,product_type,product,kosher_type,kosher_stamp,comment

"is & dessert","dessert","Tine","-","Piano sjokoladepudding med vaniljesaus","ik","-","-"
"is & dessert","dessert","Tine","-","Piano vaniljesaus uten, er ikke kosher","ik","-","-"
"is & dessert","dessert","Tine","-","Piano gelé med jordbærsmak","p","-","-"
"is & dessert","dessert","Tine","-","Piano gelé med bringebærsmak","p","-","-"
"is & dessert","dessert","Tine","-","Piano karamellpudding","m","-","-"
"is & dessert","dessert","Tine","-","Piano mandelpudding","m","-","-"
"is & dessert","dessert","Tine","-","Piano mørk sjokoladepudding","m","-","-"
"is & dessert","dessert","Tine","-","Piano premium crème brûlée","m","-","-"
"is & dessert","dessert","Tine","-","Piano sjokoladepudding","m","-","-"
"is & dessert","dessert","Tine","-","Piano bringebærsaus","p","-","-"
"is & dessert","dessert","Tine","-","Piano romkrem","m","-","-"
"is & dessert","dessert","Tine","-","Piano vaniljekrem","m","-","-"
"is & dessert","dessert","Tine","-","Piano vaniljesaus","m","-","-"
"is & dessert","dessert","Tine","-","Piano Duo yoghurt nøttetoffee og sjokocrisp","m","-","-"
"is & dessert","dessert","Tine","-","Piano Duo yoghurt sjokolade og sjokocrisp","m","-","-"
"is & dessert","dessert","Tine","-","Piano riskrem med bringebærsaus","m","-","-"

"is & dessert","dessert","Freia","-","Alle typer gelé","ik","-","-"
"is & dessert","dessert","Freia","-","Cappuccinotopping","-","-","Saknar info om koshertype"
"is & dessert","dessert","Freia","-","Dessertsaus jordbær","p","-","-"
"is & dessert","dessert","Freia","-","Dessertsaus bringebær","p","-","-"
"is & dessert","dessert","Freia","-","Dessertsjokolade","m","-","-"
"is & dessert","dessert","Freia","-","Karamellpudding","m","-","-"
"is & dessert","dessert","Freia","-","Karamelltopping","p","-","-"
"is & dessert","dessert","Freia","-","Mandelkjernepudding","p","-","-"
"is & dessert","dessert","Freia","-","Melkesjokoladepudding","m","-","-"
"is & dessert","dessert","Freia","-","Sjokolademousse med Daim","m","-","-"
"is & dessert","dessert","Freia","-","Sjokolademousse med","m","-","-"
"is & dessert","dessert","Freia","-","Melkesjokoladebiter","-","-","Saknar info om koshertype"
"is & dessert","dessert","Freia","-","Sjokoladepudding","mprod","-","-"
"is & dessert","dessert","Freia","-","Sjokoladetopping","p","-","-"
"is & dessert","dessert","Freia","-","Sjokoladetopping stivner på isen","mprod","-","-"
