category,sub_category,producer,product_type,product,kosher_type,kosher_stamp,comment

"meieri & ost","melk","Tine","-","Alle typer melk","m","-","-"
"meieri & ost","melk","Q","-","Alle typer melk","m","-","-"

"meieri & ost","fløte og rømme","Tine","-","Tine PIZZA Crème Fraîche","ik","-","-"
"meieri & ost","fløte og rømme","Tine","-","Kesam Mager","m","-","-"
"meieri & ost","fløte og rømme","Tine","-","Kesam Original","m","-","-"
"meieri & ost","fløte og rømme","Tine","-","Kesam Vanilje","m","-","-"
"meieri & ost","fløte og rømme","Tine","-","Kesam Vanilje Mager","m","-","-"
"meieri & ost","fløte og rømme","Tine","-","Kesam Lime","m","-","-"
"meieri & ost","fløte og rømme","Tine","-","Kesam Bringebær","m","-","-"
"meieri & ost","fløte og rømme","Tine","-","Kesam Pasjonsfrukt","m","-","-"
"meieri & ost","fløte og rømme","Tine","-","Kesam Laktosefri","m","-","-"
"meieri & ost","fløte og rømme","Tine","-","Tine Crème Fraîche Original","m","-","-"
"meieri & ost","fløte og rømme","Tine","-","Tine Lett Crème Fraîche 10%","m","-","-"
"meieri & ost","fløte og rømme","Tine","-","Tine Lett Crème Fraîche 18%","m","-","-"
"meieri & ost","fløte og rømme","Tine","-","Tine PASTA Crème Fraîche","m","-","-"
"meieri & ost","fløte og rømme","Tine","-","Tine Lettrømme","m","-","-"
"meieri & ost","fløte og rømme","Tine","-","Tine Lettrømme Økologisk","m","-","-"
"meieri & ost","fløte og rømme","Tine","-","Tine Melkeringe","m","-","-"
"meieri & ost","fløte og rømme","Tine","-","Tine Seterrømme","m","-","-"

"meieri & ost","yoghurt","Synnøve","-","Gresk yoghurt ingefær og vanilje","ik","-","-"
"meieri & ost","yoghurt","Synnøve","-","Gresk yoghurt Banan","ik","-","-"
"meieri & ost","yoghurt","Synnøve","-","Gresk yoghurt Jordbær Laktosefri","ik","-","-"
"meieri & ost","yoghurt","Synnøve","-","Gresk yoghurt Jordbær og Granola","ik","-","-"
"meieri & ost","yoghurt","Synnøve","-","Gresk yoghurt Skogsbær","ik","-","-"
"meieri & ost","yoghurt","Synnøve","-","Gresk yoghurt Jordbær","ik","-","-"
"meieri & ost","yoghurt","Synnøve","-","Gresk yoghurt Fersken","ik","-","-"
"meieri & ost","yoghurt","Synnøve","-","Gresk yoghurt Eple, Kanel og Rosin","ik","-","-"
"meieri & ost","yoghurt","Synnøve","-","Gresk yoghurt Sitron","ik","-","-"
"meieri & ost","yoghurt","Synnøve","-","Kvarg Blåbær","m","-","-"
"meieri & ost","yoghurt","Synnøve","-","Kvarg Jordbær & Markjordbær","m","-","-"
"meieri & ost","yoghurt","Synnøve","-","Kvarg Skogsbær","m","-","-"
"meieri & ost","yoghurt","Synnøve","-","Flow bringebærdrøm","m","-","-"
"meieri & ost","yoghurt","Synnøve","-","Flow kremet mint","m","-","-"
"meieri & ost","yoghurt","Synnøve","-","Flow salt karamell","m","-","-"
"meieri & ost","yoghurt","Synnøve","-","Gresk Yoghurt Naturell","m","-","-"
"meieri & ost","yoghurt","Synnøve","-","Gresk yoghurt Vanilje","m","-","-"
"meieri & ost","yoghurt","Synnøve","-","Gresk Naturell Laktosefri","m","-","-"
"meieri & ost","yoghurt","Synnøve","-","Gresk Yoghurt Honning og Granola","m","-","-"
"meieri & ost","yoghurt","Synnøve","-","Gresk Yoghurt Pekannøtter og Honning","m","-","-"
"meieri & ost","yoghurt","Synnøve","-","Gresk yoghurt Vanilje og Granola","m","-","-"
"meieri & ost","yoghurt","Synnøve","-","Gresk yoghurt Stracciatella","m","-","-"

"meieri & ost","yoghurt","Tine","-","Biola Mild Yoghurt","m","-","-"
"meieri & ost","yoghurt","Tine","-","Biola Sesong fettfri syrnet melk Rips/Vanilje","m","-","-"
"meieri & ost","yoghurt","Tine","-","Biola Mini Laktosefri fettfri syrnet melk Jordbær/Blåbær","m","-","-"
"meieri & ost","yoghurt","Tine","-","Biola syrnet lettmelk Naturell","m","-","-"
"meieri & ost","yoghurt","Tine","-","Biola® Sesong fettfri syrnet melk Aprikos","m","-","-"
"meieri & ost","yoghurt","Tine","-","Biola UTEN tilsatt sukker Mango","m","-","-"
"meieri & ost","yoghurt","Tine","-","Biola fettfri syrnet melk Blåbær","m","-","-"
"meieri & ost","yoghurt","Tine","-","Biola fettfri syrnet melk Jordbær","m","-","-"
"meieri & ost","yoghurt","Tine","-","Biola Frokostsmoothie MangoPasjonsfrukt","m","-","-"
"meieri & ost","yoghurt","Tine","-","Biola Sesong fettfri syrnet melk Morell","m","-","-"
"meieri & ost","yoghurt","Tine","-","Biola Frukt+Grønt Rødbet/Eple/Lime","m","-","-"
"meieri & ost","yoghurt","Tine","-","Biola fettfri syrnet melk Bringebær","m","-","-"
"meieri & ost","yoghurt","Tine","-","Biola UTEN tilsatt sukker Granateple/Bringebær","m","-","-"
"meieri & ost","yoghurt","Tine","-","Biola Laktosefri fettfri syrnet melk Blåbær","m","-","-"
"meieri & ost","yoghurt","Tine","-","Matyoghurt","m","-","-"
"meieri & ost","yoghurt","Tine","-","Matyoghurt Tzatziki","m","-","-"
"meieri & ost","yoghurt","Tine","-","Yoghurt Blåbær","m","-","-"
"meieri & ost","yoghurt","Tine","-","Yoghurt Flid Kirsebær","m","-","-"

"meieri & ost","yoghurt","Tine","-","Yoghurt Flid Solbær","m","-","-"
"meieri & ost","yoghurt","Tine","-","Yoghurt jordbær","m","-","-"
"meieri & ost","yoghurt","Tine","-","Yoghurt kirsebær","m","-","-"
"meieri & ost","yoghurt","Tine","-","Yoghurt melon","m","-","-"
"meieri & ost","yoghurt","Tine","-","Yoghurt molte","m","-","-"
"meieri & ost","yoghurt","Tine","-","Yoghurt skogsbær","m","-","-"
"meieri & ost","yoghurt","Tine","-","Yoghurt Appelsin","m","-","-"
