category,sub_category,producer,product_type,product,kosher_type,kosher_stamp,comment

"pålegg & frokost","pålegg","Ferrero","-","Nutella","m","-","-"
"pålegg & frokost","pålegg","Kavli","-","Kaviar 60%","m","-","-"
"pålegg & frokost","pålegg","Mills","-","Cashewnøtt Peanut Butter","p","-","-"
"pålegg & frokost","pålegg","Mills","-","Peanut Butter","p","-","-"
"pålegg & frokost","pålegg","Mills","-","Kaviar","p","-","-"
"pålegg & frokost","pålegg","Mills","-","Kaviarmix","p","-","-"
"pålegg & frokost","pålegg","IKEA","-","Alle syltetøy","p","-","-"
"pålegg & frokost","pålegg","Nora","-","Alle syltetøy","p","-","-"
"pålegg & frokost","pålegg","Skippy","-","Peanøttsmør Creamy","p","-","-"
"pålegg & frokost","pålegg","Skippy","-","Peanøttsmør Crunchy","p","-","-"
"pålegg & frokost","pålegg","Tartex","-","Paprika","p","-","-"
"pålegg & frokost","pålegg","Tartex","-","Mushroom","p","-","-"
"pålegg & frokost","pålegg","Tartex","-","Herb & garlic","p","-","-"
"pålegg & frokost","pålegg","Tartex","-","Herb","p","-","-"
"pålegg & frokost","pålegg","Nugatti","-","Nugatti","m","-","-"
"pålegg & frokost","pålegg","Nugatti","-","Nugatti Air","m","-","-"
"pålegg & frokost","pålegg","Nugatti","-","Nugatti Crisp","m","-","-"
"pålegg & frokost","pålegg","Nugatti","-","Nugatti Max","m","-","-"
"pålegg & frokost","pålegg","Nugatti","-","Nugatti Nøtteknas","m","-","-"
"pålegg & frokost","pålegg","Nugatti","-","Nugatti Søtt, Salt og Sprøtt","m","-","-"
"pålegg & frokost","pålegg","Nugatti","-","Nugatti Zero","m","-","-"
"pålegg & frokost","pålegg","Stabburet - Orkla","-","Banos","p","-","-"
"pålegg & frokost","pålegg","Stabburet - Orkla","-","Sjokade den orginale","m","-","-"
"pålegg & frokost","pålegg","Stabburet - Orkla","-","Sunda","p","-","-"
"pålegg & frokost","pålegg","Stabburet - Orkla","-","Stabbur-Makrell filet i tomatsaus","p","-","-"
"pålegg & frokost","pålegg","Stabburet - Orkla","-","Stabbur-Makrell grovhakket i tomat","p","-","-"
"pålegg & frokost","pålegg","Stabburet - Orkla","-","Stabbur-Makrell grovhakket i salsa","p","-","-"
"pålegg & frokost","pålegg","Stabburet - Orkla","-","Stabbur-Makrell Peppermakrell i raps","p","-","-"
"pålegg & frokost","pålegg","Stabburet - Orkla","-","Stabbur-Makrell tomat og basilikum","p","-","-"
"pålegg & frokost","pålegg","Stabburet - Orkla","-","Stabbur-Makrell Finhakket porsjon","p","-","-"
"pålegg & frokost","pålegg","Stabburet - Orkla","-","Stabbur-Makrell Grovhakket porsjon","p","-","-"
"pålegg & frokost","pålegg","Stabburet - Orkla","-","Stabbur-Makrell hakket tube","p","-","-"

"pålegg & frokost","frokostblandinger","info","-","Müsli er generelt kosher. Les innholdsfortegnelsen for å forsikre deg om at pakken ikke inneholder noen forbudte tilsetningsstoffer.","-","-","-"
"pålegg & frokost","frokostblandinger","Axa","-","Alle typer müsli og granola","p","-","-"
"pålegg & frokost","frokostblandinger","Kellogg’s","info","De fleste produkter er MK-stemplet","p","-","-" 
"pålegg & frokost","frokostblandinger","Kellogg’s","-","All-Bran Apple & Fig","p","-","-"
"pålegg & frokost","frokostblandinger","Kellogg’s","-","All-Bran Plus","p","-","-"
"pålegg & frokost","frokostblandinger","Kellogg’s","-","All-Bran Regular","p","-","-"
"pålegg & frokost","frokostblandinger","Kellogg’s","-","Coco Pops","p","-","-"
"pålegg & frokost","frokostblandinger","Kellogg’s","-","Cornf lakes","p","-","-"
"pålegg & frokost","frokostblandinger","Kellogg’s","-","Frosties","p","-","-"
"pålegg & frokost","frokostblandinger","Kellogg’s","-","Fruit & Fibre","p","-","-"
"pålegg & frokost","frokostblandinger","Kellogg’s","-","Rice Krispies","p","-","-"
"pålegg & frokost","frokostblandinger","Kellogg’s","-","Special K","m","-","-"
"pålegg & frokost","frokostblandinger","Kellogg’s","-","Special K Red Berries","p","-","-"
"pålegg & frokost","frokostblandinger","Quaker","-","Havrefras","p","-","-"
"pålegg & frokost","frokostblandinger","Quaker","-","Crusli","p","-","-"
"pålegg & frokost","frokostblandinger","Weetabix","-","Weetabix Minis","p","-","-"
"pålegg & frokost","frokostblandinger","Weetabix","-","Weetabix original","p","-","-"
"pålegg & frokost","frokostblandinger","Weetabix","-","Weetos Choco","m","-","-"

"pålegg & frokost","gryn","bulgur","bulgur","Alle sorter uten tilsetninger er tillatte","p","-","-"
"pålegg & frokost","gryn","couscous","couscous","Alle sorter uten tilsetninger er tillatte","p","-","-"
"pålegg & frokost","gryn","Del Monte","-","All hermetisk frukt","p","-","-"

"pålegg & frokost","grøt","Toro","-","Frokostgrøt","p","-","-"
"pålegg & frokost","grøt","Toro","-","Risengrøt","p","-","-"
"pålegg & frokost","grøt","Toro","-","Risengrøt snarkokt","p","-","-"
"pålegg & frokost","grøt","Toro","-","Risengrøt snarkokt 2 pakk","p","-","-"

"pålegg & frokost","grøt","Ming","-","Risgrøt snarkokt 5 min","p","-","-"






