category,sub_category,producer,product_type,product,kosher_type,kosher_stamp,comment

"snacks & godteri","godteri og sjokolade","Cloetta Fazer","-","Center","m","-","-"
"snacks & godteri","godteri og sjokolade","Cloetta Fazer","-","Dumle Original","m","-","-"
"snacks & godteri","godteri og sjokolade","Cloetta Fazer","-","Dumle kjærligheter","m","-","-"
"snacks & godteri","godteri og sjokolade","Cloetta Fazer","-","Fazermint","m","-","-"
"snacks & godteri","godteri og sjokolade","Cloetta Fazer","-","Kina","m","-","-"
"snacks & godteri","godteri og sjokolade","Cloetta Fazer","-","Liqueur Fills","m","-","-"
"snacks & godteri","godteri og sjokolade","Cloetta Fazer","-","Lys melk","m","-","-"
"snacks & godteri","godteri og sjokolade","Cloetta Fazer","-","Salte bjørner","p","-","-"
"snacks & godteri","godteri og sjokolade","Cloetta Fazer","-","Sportlunch","m","-","-"
"snacks & godteri","godteri og sjokolade","Cloetta Fazer","-","Tyrkisk pepper","p","-","-"

"snacks & godteri","godteri og sjokolade","Freia","-","Appelsin","m","-","-"
"snacks & godteri","godteri og sjokolade","Freia","-","Crème brûlée","m","-","-"
"snacks & godteri","godteri og sjokolade","Freia","-","Daim","m","-","-"
"snacks & godteri","godteri og sjokolade","Freia","-","Daimstrøssel","m","-","-"
"snacks & godteri","godteri og sjokolade","Freia","-","Dessertsjokolade","m","-","-"
"snacks & godteri","godteri og sjokolade","Freia","-","Eventyrsjokolade","m","-","-"
"snacks & godteri","godteri og sjokolade","Freia","-","Firkløver","m","-","-"
"snacks & godteri","godteri og sjokolade","Freia","-","Flerfarget strøssel","p","-","-"
"snacks & godteri","godteri og sjokolade","Freia","-","Daim Småbiter","m","-","-"
"snacks & godteri","godteri og sjokolade","Freia","-","Gode Ønsker","m","-","-"
"snacks & godteri","godteri og sjokolade","Freia","-","Japp Småbiter","m","-","-"
"snacks & godteri","godteri og sjokolade","Freia","-","Klassiske Venner","m","-","-"
"snacks & godteri","godteri og sjokolade","Freia","-","Krokanrull","m","-","-"
"snacks & godteri","godteri og sjokolade","Freia","-","M Mandel","m","-","-"
"snacks & godteri","godteri og sjokolade","Freia","-","M Peanøtt","m","-","-"
"snacks & godteri","godteri og sjokolade","Freia","-","MToffin","m","-","-"
"snacks & godteri","godteri og sjokolade","Freia","-","Melkesjokolade med Oreo Kjeksbiter","m","-","-"
"snacks & godteri","godteri og sjokolade","Freia","-","Non Stop Melkesjokolade","m","-","-"
